p_grid,prior,likelihood,posterior,Teacher
0,0,0,0,RF
1.0001000100010001e-4,1.4001399719888005e-14,1.0008003501100299e-35,3.096785868914461e-48,RF
2.0002000200020003e-4,1.119775910393286e-13,5.123585280281592e-33,1.2679360891467963e-44,RF
3.0003000300030005e-4,3.778109697675656e-13,1.9694812752449628e-31,1.6444425034919887e-42,RF
4.0004000400040005e-4,8.952831821373606e-13,2.6227508509277355e-30,5.18931144837624e-41,RF
5.000500050005e-4,1.7480751752100386e-12,1.9539061521287666e-29,7.548420394690492e-40,RF
6.000600060006001e-4,3.0197672472704253e-12,1.0080717795481973e-28,6.727554135537744e-39,RF
7.000700070007e-4,4.793839098211696e-12,4.0361667624115592e-28,4.2760702211937833e-38,RF
8.000800080008001e-4,7.153669879910179e-12,1.3423110275966847e-27,2.122141442837321e-37,RF
9.000900090009002e-4,1.0182538246589994e-11,3.87420314532872e-27,8.71827799622354e-37,RF
0.001000100010001,1.3963622405177634e-11,9.998994496148256e-27,3.085650257022167e-36,RF
0.0011001100110011,1.8580000165646597e-11,2.3574745677578397e-26,9.680215006938077e-36,RF
0.0012001200120012002,2.411464899135186e-11,5.158228545503968e-26,2.748994044503193e-35,RF
0.0013001300130013002,3.065044604935364e-11,1.0600248553591338e-25,7.180341855475147e-35,RF
0.0014001400140014,3.8270168260732493e-11,2.0650696620108184e-25,1.7465754519198652e-34,RF
0.0015001500150015003,4.7056492350893087e-11,3.8420252968463922e-25,3.99550837124508e-34,RF
0.0016001600160016002,5.7091994899858156e-11,6.867129402573118e-25,8.66448438190699e-34,RF
0.0017001700170017002,6.84591523925521e-11,1.1849285786960555e-24,1.79273445576568e-33,RF
0.0018001800180018003,8.124034126907612e-11,1.981804990579119e-24,3.558155554171269e-33,RF
0.0019001900190019003,9.551783797497122e-11,3.2236454189997585e-24,6.804935662139178e-33,RF
0.002000200020002,1.1137381901147182e-10,5.114360059210744e-24,1.2588288436228237e-32,RF
0.0021002100210021,1.288903609857495e-10,7.933255991763614e-24,2.2597697051414075e-32,RF
0.0022002200220022,1.4814944066114583e-10,1.2056976538256236e-23,3.947577869757957e-32,RF
0.0023002300230023005,1.692329350073991e-10,1.7986277136224416e-23,6.726953737859617e-32,RF
0.0024002400240024004,1.9222262125085295e-10,2.637839674336419e-23,1.120585929175379e-31,RF
0.0025002500250025004,2.1720017692466163e-10,3.8085859252528835e-23,1.828168436322923e-31,RF
0.0026002600260026003,2.4424717991898517e-10,5.420261842417669e-23,2.925782909446928e-31,RF
0.0027002700270027003,2.7344510853117125e-10,7.611854241849691e-23,4.5999477235221605e-31,RF
0.0028002800280028,3.048753415159265e-10,1.0558332013173549e-22,7.113934923164166e-31,RF
0.0029002900290029006,3.386191581354806e-10,1.447809612065572e-22,1.083465919071603e-30,RF
