p_grid,prior,likelihood,posterior,Teacher
0,1,0,0,RF
1.0001000100010001e-4,1,1.9999999399880028e-11,1.4001399719888005e-14,RF
2.0002000200020003e-4,1,1.5995199040032098e-10,1.119775910393286e-13,RF
3.0003000300030005e-4,1,5.39675983815127e-10,3.778109697675656e-13,RF
4.0004000400040005e-4,1,1.2788480768844959e-9,8.952831821373606e-13,RF
5.000500050005e-4,1,2.4970005252750257e-9,1.7480751752100386e-12,RF
6.000600060006001e-4,1,4.3135218150652845e-9,3.0197672472704253e-12,RF
7.000700070007e-4,1,6.8476567347169664e-9,4.793839098211696e-12,RF
8.000800080008001e-4,1,1.02185064470317e-8,7.153669879910179e-12,RF
9.000900090009002e-4,1,1.454502856109334e-8,1.0182538246589994e-11,RF
0.001000100010001,1,1.9946037204195884e-8,1.3963622405177634e-11,RF
0.0011001100110011,1,2.6540203093757197e-8,1.8580000165646597e-11,RF
0.0012001200120012002,1,3.444605360921819e-8,2.411464899135186e-11,RF
0.0013001300130013002,1,4.378197286392673e-8,3.065044604935364e-11,RF
0.0014001400140014,1,5.4666201777009186e-8,3.8270168260732493e-11,RF
0.0015001500150015003,1,6.721683814522572e-8,4.7056492350893087e-11,RF
0.0016001600160016002,1,8.155183671481169e-8,5.7091994899858156e-11,RF
0.0017001700170017002,1,9.778900925330407e-8,6.84591523925521e-11,RF
0.0018001800180018003,1,1.1604602462135605e-7,8.124034126907612e-11,RF
0.0019001900190019003,1,1.3644040884453393e-7,9.551783797497122e-11,RF
0.002000200020002,1,1.59089545185101e-7,1.1137381901147182e-10,RF
0.0021002100210021,1,1.8411067421378707e-7,1.288903609857495e-10,RF
0.0022002200220022,1,2.1162089388154252e-7,1.4814944066114583e-10,RF
0.0023002300230023005,1,2.4173715959128343e-7,1.692329350073991e-10,RF
0.0024002400240024004,1,2.745762842696113e-7,1.9222262125085295e-10,RF
0.0025002500250025004,1,3.1025493843852747e-7,2.1720017692466163e-10,RF
0.0026002600260026003,1,3.488896502871333e-7,2.4424717991898517e-10,RF
0.0027002700270027003,1,3.905968057433117e-7,2.7344510853117125e-10,RF
0.0028002800280028,1,4.354926485453929e-7,3.048753415159265e-10,RF
0.0029002900290029006,1,4.836932803138102e-7,3.386191581354806e-10,RF
0.0030003000300030005,1,5.353146606227388e-7,3.747577382097381e-10,RF
0.0031003100310031005,1,5.904726070717291e-7,4.133721621664269e-10,RF
0.0032003200320032004,1,6.492827953573084e-7,4.545434110912249e-10,RF
0.0033003300330033004,1,7.118607593445725e-7,4.983523667778784e-10,RF
0.0034003400340034003,1,7.783218911387848e-7,5.44879811778327e-10,RF
0.0035003500350035003,1,8.487814411569337e-7,5.942064294527987e-10,RF
0.0036003600360036006,1,9.233545181992795e-7,6.464128040198975e-10,RF
0.0037003700370037006,1,1.002156089520913e-6,7.015794206066995e-10,RF
0.0038003800380038005,1,1.0853009809032554e-6,7.597866652988084e-10,RF
0.0039003900390039005,1,1.172903876725591e-6,8.211148251904325e-10,RF
0.004000400040004,1,1.265079320036544e-6,8.856440884344241e-10,RF
0.004100410041004101,1,1.3619417126255778e-6,9.534545442923335e-10,RF
0.0042004200420042,1,1.4636053150944335e-6,1.0246261831844218e-9,RF
0.004300430043004301,1,1.5701842469286355e-6,1.0992388967397186e-9,RF
0.0044004400440044,1,1.6817924865688641e-6,1.1773724778459891e-9,RF
0.004500450045004501,1,1.7985438714824173e-6,1.2591066206997618e-9,RF
0.004600460046004601,1,1.9205520982346234e-6,1.3445209208563218e-9,RF
0.0047004700470047005,1,2.047930722560221e-6,1.4336948752796823e-9,RF
0.004800480048004801,1,2.180793159434733e-6,1.526707882392552e-9,RF
0.0049004900490049,1,2.3192526831458717e-6,1.6236392421263225e-9,RF
0.005000500050005001,1,2.4634224273648287e-6,1.7245681559709768e-9,RF
0.0051005100510051,1,2.613415385217656e-6,1.8295737270250615e-9,RF
0.005200520052005201,1,2.769344409356589e-6,1.9387349600456163e-9,RF
0.005300530053005301,1,2.9313222120313596e-6,2.052130761498101e-9,RF
0.0054005400540054005,1,3.099461365160412e-6,2.1698399396062486e-9,RF
0.005500550055005501,1,3.273874300402331e-6,2.2919412044020714e-9,RF
0.0056005600560056,1,3.4546733092269517e-6,2.418513167775643e-9,RF
0.005700570057005701,1,3.6419705429867096e-6,2.5496343435250487e-9,RF
0.005800580058005801,1,3.835878012987849e-6,2.6853831474062344e-9,RF
0.005900590059005901,1,4.036507590561636e-6,2.825837897182863e-9,RF
0.006000600060006001,1,4.243971007135579e-6,2.9710768126761726e-9,RF
0.006100610061006101,1,4.458379854304615e-6,3.121178015814811e-9,RF
0.006200620062006201,1,4.679845583902272e-6,3.2762195306846577e-9,RF
0.0063006300630063005,1,4.9084795080718575e-6,3.4362792835786573e-9,RF
0.006400640064006401,1,5.144392799337647e-6,3.6014351030466568e-9,RF
0.006500650065006501,1,5.387696490675893e-6,3.771764719945119e-9,RF
0.006600660066006601,1,5.6385014755860975e-6,3.947345767487016e-9,RF
0.006700670067006701,1,5.8969185081620374e-6,4.128255781291555e-9,RF
0.006800680068006801,1,6.163058203162784e-6,4.314572199433891e-9,RF
0.006900690069006901,1,6.437031036084e-6,4.506372362495048e-9,RF
0.0070007000700070005,1,6.7189473432287434e-006,4.70373351361148e-9,RF
0.007100710071007101,1,7.008917321778747e-6,4.9067327985249746e-9,RF
0.007200720072007201,1,7.307051029865251e-6,5.115447265632238e-9,RF
0.007300730073007301,1,7.6134583866402e-6,5.329953866034742e-9,RF
0.007400740074007401,1,7.92824917234708e-6,5.550329453588314e-9,RF
0.007500750075007501,1,8.251533028392083e-6,5.776650784952952e-9,RF
0.007600760076007601,1,8.583419457414976e-6,6.008994519642446e-9,RF
0.0077007700770077014,1,8.924017823360063e-6,6.24743722007405e-9,RF
0.007800780078007801,1,9.273437351547097e-6,6.492055351618128e-9,RF
0.0079007900790079,1,9.631787128742455e-6,6.742925282647981e-9,RF
0.008000800080008,1,9.999176103229647e-6,7.00012328458921e-9,RF
0.008100810081008101,1,1.037571308488068e-5,7.263725531969671e-9,RF
0.008200820082008202,1,1.076150674522647e-5,7.533808102468773e-9,RF
0.0083008300830083,1,1.1156665617528136e-5,7.81044697696739e-9,RF
0.0084008400840084,1,1.1561298096847711e-5,8.093718039597355e-9,RF
0.008500850085008501,1,1.197551244011886e-5,8.383697077790978e-9,RF
0.008600860086008601,1,1.2399416766217892e-5,8.680459782330755e-9,RF
0.008700870087008702,1,1.2833119056034476e-5,8.984081747398871e-9,RF
0.0088008800880088,1,1.3276727152542477e-5,9.294638470626794e-9,RF
0.0089008900890089,1,1.373034876087076e-5,9.612205353144844e-9,RF
0.009000900090009001,1,1.4194091448373976e-5,9.936857699631743e-9,RF
0.009100910091009102,1,1.4668062644703306e-5,1.0268670718364148e-8,RF
0.009200920092009202,1,1.515236964187701e-5,1.060771952126603e-8,RF
0.0093009300930093,1,1.564711959435168e-5,1.0954079123958569e-8,RF
0.009400940094009401,1,1.6152419519092378e-5,1.1307824445809242e-8,RF
0.009500950095009501,1,1.6668376295643754e-5,1.1669030309981623e-8,RF
0.009600960096009602,1,1.7195096666200317e-5,1.2037771443484567e-8,RF
0.009700970097009702,1,1.7732687235677636e-5,1.2414122477222064e-8,RF
0.0098009800980098,1,1.828125447178255e-5,1.2798157946042386e-8,RF
0.009900990099009901,1,1.8840904705084122e-5,1.3189952288787761e-8,RF
0.010001000100010001,1,1.9411744129084046e-5,1.3589579848343664e-8,RF
0.010101010101010102,1,1.9993878800287355e-5,1.3997114871688314e-8,RF
0.0102010201020102,1,2.0587414638272967e-5,1.4412631509942067e-8,RF
0.010301030103010301,1,2.119245742576459e-5,1.483620381841705e-8,RF
0.010401040104010401,1,2.18091128087007e-5,1.5267905756666153e-8,RF
0.010501050105010502,1,2.243748629630558e-5,1.5707811188532756e-8,RF
0.010601060106010602,1,2.30776832611599e-5,1.6155993882200147e-8,RF
0.0107010701070107,1,2.3729808939270664e-5,1.6612527510240484e-8,RF
0.010801080108010801,1,2.439396843014245e-5,1.7077485649664676e-8,RF
0.010901090109010901,1,2.5070266696847534e-5,1.7550941781971467e-8,RF
0.011001100110011002,1,2.5758808566096344e-5,1.8032969293196756e-8,RF
0.011101110111011102,1,2.6459698728308084e-5,1.8523641473963052e-8,RF
0.0112011201120112,1,2.7173041737680998e-5,1.902303151952865e-8,RF
0.011301130113011301,1,2.7898942012263377e-5,1.9531212529837342e-8,RF
0.011401140114011402,1,2.863750383402302e-5,2.0048257509567065e-8,RF
0.011501150115011502,1,2.938883134891826e-5,2.0574239368179592e-8,RF
0.011601160116011602,1,3.0153028566968843e-5,2.110923091997018e-8,RF
0.011701170117011701,1,3.093019936232496e-5,2.1653304884115877e-8,RF
0.011801180118011801,1,3.172044747333919e-5,2.2206533884725902e-8,RF
0.011901190119011902,1,3.252387650263546e-5,2.2768990450889905e-8,RF
0.012001200120012002,1,3.334058991718033e-5,2.3340747016727897e-8,RF
0.0121012101210121,1,3.417069104835309e-5,2.39218759214393e-8,RF
0.012201220122012201,1,3.501428309201581e-5,2.4512449409351997e-8,RF
0.012301230123012302,1,3.587146910858366e-5,2.5112539629971553e-8,RF
0.012401240124012402,1,3.6742352023095835e-5,2.572221863803088e-8,RF
0.012501250125012502,1,3.762703462528498e-5,2.6341558393538833e-8,RF
0.012601260126012601,1,3.852561956964783e-5,2.697063076182966e-8,RF
0.012701270127012701,1,3.943820937551569e-5,2.7609507513612336e-8,RF
0.012801280128012802,1,4.0364906427124157e-5,2.8258260325019404e-8,RF
0.012901290129012902,1,4.130581297368373e-5,2.891696077765637e-8,RF
0.013001300130013002,1,4.2261031129449584e-5,2.9585680358650566e-8,RF
0.013101310131013101,1,4.323066287379258e-5,3.0264490460700866e-8,RF
0.013201320132013201,1,4.421481005126848e-5,3.0953462382126143e-8,RF
0.013301330133013302,1,4.5213574371688377e-005,3.1652667326914545e-8,RF
0.013401340134013402,1,4.622705741018937e-5,3.236217640477303e-8,RF
0.013501350135013503,1,4.7255360607304245e-5,3.308206063117608e-8,RF
0.013601360136013601,1,4.8298585269031336e-5,3.381239092741467e-8,RF
0.013701370137013702,1,4.935683256690507e-5,3.4553238120645604e-8,RF
0.013801380138013802,1,5.0430203538066043e-5,3.5304672943940616e-8,RF
0.013901390139013902,1,5.151879908533096e-5,3.60667660363353e-8,RF
0.014001400140014001,1,5.262271997726224e-5,3.683958794287785e-8,RF
0.014101410141014101,1,5.37420668482391e-5,3.762320911467883e-8,RF
0.014201420142014202,1,5.487694019852663e-5,3.8417699908959526e-8,RF
0.014301430143014302,1,5.6027440394345954e-5,3.922313058910107e-8,RF
0.014401440144014403,1,5.719366766794492e-5,4.00395713246939e-8,RF
0.014501450145014501,1,5.837572211766754e-5,4.0867092191586426e-8,RF
0.014601460146014602,1,5.95737037080234e-5,4.1705763171933564e-8,RF
0.014701470147014702,1,6.0787712269759055e-5,4.2555654154246754e-8,RF
0.014801480148014802,1,6.201784749992633e-5,4.341683493344177e-8,RF
0.014901490149014903,1,6.326420896195363e-5,4.4289375210888616e-8,RF
0.015001500150015001,1,6.452689608571501e-5,4.5173344594459946e-8,RF
0.015101510151015102,1,6.580600816760037e-5,4.6068812598580105e-8,RF
0.015201520152015202,1,6.710164437058568e-5,4.697584864427439e-8,RF
0.015301530153015303,1,6.841390372430155e-5,4.7894522059217e-8,RF
0.015401540154015403,1,6.974288512510508e-5,4.8824902077781326e-8,RF
0.015501550155015502,1,7.108868733614759e-5,4.9767057841087404e-8,RF
0.015601560156015602,1,7.245140898744646e-5,5.072105839705222e-8,RF
0.0157015701570157,1,7.383114857595302e-5,5.168697270043714e-8,RF
0.0158015801580158,1,7.5228004465624e-5,5.2664869612898075e-8,RF
0.0159015901590159,1,7.664207488749036e-5,5.365481790303354e-8,RF
0.016001600160016,1,7.807345793972692e-5,5.465688624643347e-8,RF
0.016101610161016102,1,7.952225158772318e-5,5.567114322572878e-8,RF
0.016201620162016202,1,8.098855366415163e-5,5.669765733063919e-8,RF
0.016301630163016303,1,8.247246186903895e-5,5.773649695802306e-8,RF
0.016401640164016403,1,8.397407376983383e-5,5.8787730411924864e-8,RF
0.016501650165016504,1,8.549348680147927e-5,5.985142590362584e-8,RF
0.0166016601660166,1,8.703079826647953e-5,6.092765155169083e-8,RF
0.0167016701670167,1,8.858610533497185e-5,6.201647538201848e-8,RF
0.0168016801680168,1,9.015950504479505e-5,6.31179653278893e-8,RF
0.0169016901690169,1,9.175109430155942e-5,6.423218923001458e-8,RF
0.017001700170017002,1,9.336096987871578e-5,6.535921483658468e-8,RF
0.017101710171017102,1,9.498922841762693e-5,6.649910980331917e-8,RF
0.017201720172017203,1,9.663596642763528e-5,6.765194169351402e-8,RF
0.017301730173017303,1,9.830128028613238e-5,6.881777797809045e-8,RF
0.017401740174017404,1,9.998526623863018e-5,6.999668603564467e-8,RF
0.017501750175017504,1,1.0168802039882971e-4,7.118873315249603e-8,RF
0.0176017601760176,1,1.0340963874869021e-4,7.239398652273541e-8,RF
0.0177017701770177,1,1.051502171384987e-4,7.36125132482739e-8,RF
0.0178017801780178,1,1.0690985128693999e-4,7.484438033889187e-8,RF
0.017901790179017902,1,1.0868863678116572e-4,7.608965471228721e-8,RF
0.018001800180018002,1,1.104866690768651e-4,7.734840319412496e-8,RF
0.018101810181018103,1,1.1230404349833204e-4,7.862069251808422e-8,RF
0.018201820182018203,1,1.1414085523853643e-4,7.990658932590807e-8,RF
0.018301830183018303,1,1.1599719935919271e-4,8.120616016745161e-8,RF
0.018401840184018404,1,1.1787317079083093e-4,8.25194715007317e-8,RF
0.0185018501850185,1,1.1976886433286253e-4,8.384658969197295e-8,RF
0.0186018601860186,1,1.216843746536544e-4,8.518758101565962e-8,RF
0.0187018701870187,1,1.2361979629059477e-4,8.654251165458178e-8,RF
0.018801880188018802,1,1.2557522365016325e-4,8.791144769988425e-8,RF
0.018901890189018902,1,1.2755075100800138e-4,8.929445515111605e-8,RF
0.019001900190019003,1,1.295464725089811e-4,9.069159991627837e-8,RF
0.019101910191019103,1,1.3156248216727472e-4,9.210294781187346e-8,RF
0.019201920192019203,1,1.3359887386642206e-4,9.352856456295171e-8,RF
0.019301930193019304,1,1.3565574135940343e-4,9.49685158031627e-8,RF
0.019401940194019404,1,1.3773317826870502e-4,9.642286707480097e-8,RF
0.0195019501950195,1,1.3983127808639146e-4,9.789168382885688e-8,RF
0.0196019601960196,1,1.4195013417417273e-4,9.937503142506339e-8,RF
0.019701970197019702,1,1.4408983976347452e-4,1.0087297513194533e-7,RF
0.019801980198019802,1,1.4625048795550728e-4,1.0238558012686776e-7,RF
0.019901990199019903,1,1.4843217172133533e-4,1.0391291149608431e-7,RF
0.020002000200020003,1,1.5063498390194594e-4,1.0545503423478561e-7,RF
0.020102010201020103,1,1.5285901720831855e-4,1.0701201324714767e-7,RF
0.020202020202020204,1,1.5510436422149483e-4,1.0858391334638098e-7,RF
0.020302030203020304,1,1.5737111739264512e-4,1.1017079925477703e-7,RF
0.0204020402040204,1,1.5965936904314184e-4,1.1177273560375964e-7,RF
0.0205020502050205,1,1.6196921136462473e-4,1.1338978693393068e-7,RF
0.020602060206020602,1,1.6430073641907186e-4,1.1502201769511979e-7,RF
0.020702070207020702,1,1.6665403613886783e-4,1.166694922464321e-7,RF
0.020802080208020803,1,1.6902920232687372e-4,1.183322748562972e-7,RF
0.020902090209020903,1,1.714263266564958e-4,1.200104297025173e-7,RF
0.021002100210021003,1,1.7384550067175481e-4,1.2170402087231557e-7,RF
0.021102110211021104,1,1.7628681578735423e-4,1.2341311236238418e-7,RF
0.021202120212021204,1,1.7875036328874957e-4,1.2513776807893256e-7,RF
0.021302130213021304,1,1.8123623433221868e-4,1.2687805183773682e-7,RF
0.0214021402140214,1,1.8374451994492786e-4,1.286340273641859e-7,RF
0.021502150215021502,1,1.8627531102500397e-4,1.3040575829333207e-7,RF
0.021602160216021602,1,1.8882869834160174e-4,1.3219330816993819e-7,RF
0.021702170217021702,1,1.9140477253497387e-4,1.3399674044852654e-7,RF
0.021802180218021803,1,1.9400362411653617e-4,1.3581611849342463e-7,RF
0.021902190219021903,1,1.9662534346894293e-4,1.376515055788179e-7,RF
0.022002200220022004,1,1.9927002084615071e-4,1.3950296488879435e-7,RF
0.022102210221022104,1,2.0193774637348855e-4,1.4137055951739368e-7,RF
0.022202220222022204,1,2.046286100477274e-4,1.43254352468656e-7,RF
0.0223022302230223,1,2.0734270173714884e-4,1.4515440665666983e-7,RF
0.0224022402240224,1,2.1008011118161336e-4,1.4707078490561988e-7,RF
0.022502250225022502,1,2.1284092799263044e-4,1.4900354994983626e-7,RF
0.022602260226022602,1,2.1562524165342475e-4,1.5095276443384067e-7,RF
0.022702270227022703,1,2.1843314151901016e-4,1.5291849091239832e-7,RF
0.022802280228022803,1,2.2126471681625036e-4,1.5490079185056026e-7,RF
0.022902290229022904,1,2.2412005664393668e-4,1.56899729623718e-7,RF
0.023002300230023004,1,2.2699924997285042e-4,1.5891536651764703e-7,RF
0.023102310231023104,1,2.2990238564583298e-4,1.609477647285559e-7,RF
0.023202320232023205,1,2.3282955237785682e-4,1.6299698636313604e-7,RF
0.0233023302330233,1,2.3578083875609298e-4,1.650630934386089e-7,RF
0.023402340234023402,1,2.387563332399781e-4,1.671461478827729e-7,RF
0.023502350235023502,1,2.4175612416128578e-4,1.692462115340534e-7,RF
0.023602360236023603,1,2.447802997241932e-4,1.7136334614154935e-7,RF
0.023702370237023703,1,2.4782894800534904e-4,1.734976133650808e-7,RF
0.023802380238023804,1,2.5090215695394626e-4,1.7564907477523985e-7,RF
0.023902390239023904,1,2.5400001439178745e-4,1.778177918534365e-7,RF
0.024002400240024004,1,2.57122608013353e-4,1.8000382599194626e-7,RF
0.024102410241024105,1,2.6027002538587146e-4,1.822072384939594e-7,RF
0.0242024202420242,1,2.6344235394938664e-4,1.8442809057362797e-7,RF
0.024302430243024302,1,2.666396810168286e-4,1.8666644335611558e-7,RF
0.024402440244024402,1,2.6986209377408046e-4,1.8892235787764403e-7,RF
0.024502450245024503,1,2.7310967928004443e-4,1.911958950855396e-7,RF
0.024602460246024603,1,2.763825244667159e-4,1.9348711583828493e-7,RF
0.024702470247024703,1,2.7968071613924755e-4,1.9579608090556378e-7,RF
0.024802480248024804,1,2.8300434097601983e-4,1.9812285096831067e-7,RF
0.024902490249024904,1,2.8635348552870935e-4,2.0046748661875837e-7,RF
0.025002500250025005,1,2.8972823622235445e-4,2.028300483604841e-7,RF
0.025102510251025105,1,2.931286793554307e-4,2.052105966084623e-7,RF
0.025202520252025202,1,2.9655490109991114e-4,2.0760919168910667e-7,RF
0.025302530253025302,1,3.0000698750133836e-4,2.1002589384032083e-7,RF
0.025402540254025403,1,3.0348502447889616e-4,2.124607632115484e-7,RF
